epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8001,1.4859,2.87517,1.8538,1.57137,0.23092,0.2063,0.1087,0.0338,0.27371,0.2378,0.1355,0.03754,2.43034,5.75776,2.87458,3.20886,0.0674625,0.000664032,0.000664032
2,74.973,1.48631,2.60328,1.61509,1.5784,0.48488,0.41362,0.42179,0.20525,0.50758,0.40142,0.4116,0.1935,1.8349,3.48693,2.26171,2.1966,0.0347914,0.00132631,0.00132631
3,109.6,1.46674,2.57344,1.56389,1.55278,0.56394,0.41819,0.4432,0.20781,0.55989,0.38268,0.4068,0.15093,1.8755,3.87317,1.97712,2.10674,0.00211593,0.00198418,0.00198418
4,143.623,1.40917,2.48939,1.46743,1.51581,0.56388,0.4474,0.4672,0.2243,0.57803,0.45173,0.46888,0.21813,1.83151,3.04211,1.97548,2.02353,0.0019802,0.0019802,0.0019802
5,180.612,1.3639,2.3994,1.38466,1.47824,0.45362,0.33665,0.34364,0.17032,0.45324,0.30539,0.31919,0.1489,1.90592,3.22796,2.30924,2.18535,0.0019736,0.0019736,0.0019736
6,216.658,1.34803,2.35731,1.36337,1.46763,0.70411,0.5816,0.66004,0.37545,0.71307,0.58215,0.65365,0.36066,1.46444,2.46142,1.44126,1.66716,0.001967,0.001967,0.001967
7,255.362,1.32325,2.29119,1.32438,1.44669,0.66083,0.52083,0.57818,0.31771,0.67341,0.50102,0.56502,0.30115,1.60859,2.68307,1.61639,1.87886,0.0019604,0.0019604,0.0019604
8,291.595,1.29648,2.26345,1.27703,1.43697,0.64806,0.52896,0.57752,0.31633,0.67972,0.53201,0.57749,0.30105,1.56725,2.84275,1.54656,1.75416,0.0019538,0.0019538,0.0019538
9,325.822,1.27058,2.23827,1.2573,1.41613,0.75222,0.65396,0.74949,0.45456,0.76371,0.64634,0.74322,0.42656,1.36064,2.28521,1.18227,1.57311,0.0019472,0.0019472,0.0019472
10,359.972,1.24717,2.20474,1.20879,1.39895,0.73905,0.64903,0.73481,0.44367,0.76948,0.61738,0.71549,0.40693,1.37428,2.28374,1.21433,1.59065,0.0019406,0.0019406,0.0019406
11,394.672,1.2388,2.19523,1.19707,1.38873,0.7304,0.63599,0.71795,0.41386,0.73173,0.63567,0.70975,0.40018,1.45872,2.29368,1.29333,1.63828,0.001934,0.001934,0.001934
12,429.344,1.24038,2.15215,1.18905,1.39166,0.79211,0.61331,0.74143,0.4626,0.79958,0.61426,0.7376,0.43373,1.33511,2.12454,1.18737,1.5634,0.0019274,0.0019274,0.0019274
13,467.88,1.21681,2.18148,1.16801,1.37702,0.71981,0.67683,0.74602,0.46642,0.71787,0.67103,0.73764,0.43178,1.33254,2.19989,1.1203,1.56677,0.0019208,0.0019208,0.0019208
14,502.931,1.20792,2.12962,1.14114,1.36713,0.75812,0.68006,0.76419,0.46875,0.76503,0.68547,0.77089,0.44624,1.32729,2.13448,1.16301,1.54623,0.0019142,0.0019142,0.0019142
15,539.155,1.20303,2.12,1.12156,1.36535,0.72639,0.64212,0.71385,0.44647,0.73233,0.6409,0.70847,0.42163,1.33823,2.23454,1.22332,1.56893,0.0019076,0.0019076,0.0019076
16,574.689,1.18398,2.08138,1.10403,1.355,0.75164,0.62435,0.72897,0.44942,0.74858,0.62181,0.71613,0.41924,1.33832,2.17704,1.20331,1.57911,0.001901,0.001901,0.001901
17,611.211,1.18115,2.06168,1.08817,1.34912,0.77297,0.63923,0.73003,0.45595,0.7775,0.64455,0.72908,0.42574,1.36036,2.11975,1.20242,1.57766,0.0018944,0.0018944,0.0018944
