epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7451,1.53321,2.84291,1.83604,1.62514,0.39906,0.32774,0.30433,0.12988,0.40003,0.27273,0.23833,0.09207,2.18619,4.90381,2.93577,2.33246,0.0674625,0.000664032,0.000664032
2,96.5536,1.53914,2.65443,1.65287,1.63022,0.48812,0.36486,0.37062,0.18498,0.49399,0.39431,0.3913,0.18048,1.94318,3.32696,2.43507,2.23832,0.0347914,0.00132631,0.00132631
3,141.294,1.5101,2.60434,1.59314,1.59434,0.53741,0.44817,0.46099,0.21954,0.60075,0.4375,0.46639,0.22056,1.9089,3.13666,1.96252,2.14685,0.00211593,0.00198418,0.00198418
4,185.243,1.43618,2.52319,1.49511,1.55183,0.54031,0.44614,0.45523,0.23338,0.5276,0.43699,0.44716,0.22977,1.86411,2.70612,1.87736,2.12947,0.0019802,0.0019802,0.0019802
5,229.924,1.38713,2.42187,1.40334,1.50845,0.66098,0.56504,0.60442,0.33336,0.65126,0.55843,0.59021,0.30983,1.62165,2.53374,1.92985,1.86893,0.0019736,0.0019736,0.0019736
6,273.939,1.36345,2.35753,1.37184,1.48532,0.69339,0.56555,0.63662,0.36136,0.72616,0.56189,0.63156,0.34899,1.51758,2.56255,1.49018,1.74128,0.001967,0.001967,0.001967
7,317.686,1.31694,2.28197,1.30505,1.4639,0.70991,0.57876,0.65641,0.37978,0.73799,0.55818,0.65054,0.34456,1.49883,2.58551,1.37248,1.7178,0.0019604,0.0019604,0.0019604
8,361.417,1.29837,2.24059,1.261,1.43774,0.74555,0.55235,0.65517,0.36811,0.73887,0.55496,0.63655,0.33845,1.55212,2.79772,1.38157,1.76728,0.0019538,0.0019538,0.0019538
9,405.659,1.28279,2.23395,1.26107,1.43322,0.72378,0.60518,0.67882,0.40215,0.71335,0.60976,0.67063,0.37055,1.43278,2.47434,1.40656,1.65726,0.0019472,0.0019472,0.0019472
10,452.129,1.27151,2.20566,1.20962,1.41904,0.7393,0.61384,0.70423,0.42327,0.738,0.60569,0.69671,0.40114,1.43118,2.27241,1.25568,1.6408,0.0019406,0.0019406,0.0019406
11,495.944,1.23525,2.18129,1.18564,1.39939,0.76303,0.61683,0.72215,0.43626,0.75626,0.62276,0.71379,0.40347,1.38785,2.29082,1.19258,1.61711,0.001934,0.001934,0.001934
12,540.281,1.23618,2.14456,1.16663,1.39936,0.7641,0.65142,0.75656,0.47642,0.78308,0.63516,0.74891,0.43339,1.31142,2.18557,1.11159,1.57103,0.0019274,0.0019274,0.0019274
13,586.071,1.22136,2.16283,1.15504,1.38834,0.76399,0.55234,0.65486,0.37247,0.75907,0.54878,0.64328,0.33016,1.52405,2.5315,1.4623,1.79131,0.0019208,0.0019208,0.0019208
14,630.073,1.19061,2.10586,1.12016,1.36812,0.73175,0.65396,0.72737,0.43804,0.72997,0.65955,0.72321,0.40848,1.41719,2.35902,1.29121,1.61889,0.0019142,0.0019142,0.0019142
15,674.158,1.19719,2.09432,1.1082,1.37544,0.77328,0.65701,0.75168,0.46845,0.78381,0.65752,0.75016,0.43982,1.33336,2.16599,1.12646,1.5609,0.0019076,0.0019076,0.0019076
16,719.714,1.1719,2.06633,1.09314,1.35679,0.74268,0.60722,0.70677,0.43553,0.73742,0.59791,0.68947,0.3973,1.35283,2.18931,1.21702,1.61623,0.001901,0.001901,0.001901
17,764.871,1.17068,2.04844,1.07577,1.35707,0.77847,0.70172,0.79383,0.50043,0.78494,0.6936,0.78411,0.45307,1.28201,2.17422,1.0452,1.49446,0.0018944,0.0018944,0.0018944
18,809.56,1.16521,2.04728,1.07521,1.34548,0.7955,0.68589,0.78715,0.49875,0.797,0.70024,0.79013,0.47322,1.28945,2.0274,1.0134,1.51956,0.0018878,0.0018878,0.0018878
19,853.314,1.14715,2.01257,1.04735,1.33844,0.75748,0.70122,0.7714,0.49972,0.76642,0.70325,0.77002,0.46285,1.25619,2.14575,1.05952,1.48749,0.0018812,0.0018812,0.0018812
20,897.069,1.14489,2.00328,1.03933,1.33487,0.8083,0.69055,0.79516,0.50907,0.8004,0.70173,0.78389,0.46985,1.24553,2.09791,1.05001,1.49249,0.0018746,0.0018746,0.0018746
21,941.852,1.1601,2.02325,1.0421,1.33866,0.74971,0.66413,0.73676,0.45518,0.73122,0.65801,0.71722,0.41732,1.36079,2.1848,1.18277,1.63043,0.001868,0.001868,0.001868
22,985.751,1.13139,1.98896,1.01448,1.32545,0.81421,0.719,0.80948,0.52506,0.8229,0.7312,0.82212,0.50867,1.2417,1.92189,0.98008,1.47479,0.0018614,0.0018614,0.0018614
23,1030.76,1.11721,1.95794,0.99246,1.31202,0.81098,0.68039,0.78454,0.49127,0.81589,0.6823,0.78293,0.47669,1.28639,2.09998,1.05297,1.52947,0.0018548,0.0018548,0.0018548
24,1075.44,1.1148,1.9512,0.99463,1.30658,0.77866,0.68445,0.77852,0.49949,0.76676,0.6782,0.76221,0.45414,1.27262,2.09141,1.05969,1.52635,0.0018482,0.0018482,0.0018482
25,1119.01,1.11866,1.95515,0.98755,1.30887,0.83012,0.73001,0.83468,0.55632,0.83432,0.72307,0.82533,0.51374,1.16757,1.89664,0.90298,1.42099,0.0018416,0.0018416,0.0018416
26,1164.78,1.10227,1.9422,0.9659,1.30722,0.8305,0.73984,0.82942,0.55111,0.83411,0.74187,0.82635,0.50566,1.17627,1.91456,0.91167,1.44504,0.001835,0.001835,0.001835
27,1209.06,1.11438,1.94978,0.97362,1.30849,0.7912,0.70663,0.7974,0.51752,0.8047,0.70765,0.79664,0.49076,1.23626,1.97488,0.98026,1.46904,0.0018284,0.0018284,0.0018284
28,1252.73,1.10241,1.92745,0.97126,1.30072,0.80224,0.74339,0.83479,0.55326,0.8272,0.7373,0.83868,0.52229,1.17647,1.86559,0.89948,1.41832,0.0018218,0.0018218,0.0018218
