epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.572,1.34168,3.0245,2.5474,1.49371,0.62468,0.51931,0.56159,0.3205,0.62568,0.52693,0.55679,0.29873,1.3416,2.51247,2.18876,1.56373,0.00332016,0.00332016,0.00332016
2,75.1348,1.27162,2.40393,1.7845,1.39775,0.43668,0.38129,0.33871,0.15986,0.44064,0.35671,0.31992,0.14088,1.93236,3.30336,2.52417,2.33608,0.00663153,0.00663153,0.00663153
3,108.674,1.36504,2.5026,1.71983,1.47095,0.51765,0.39685,0.41742,0.19011,0.56627,0.36585,0.39847,0.17662,1.86316,3.37582,2.30825,2.05201,0.00992091,0.00992091,0.00992091
4,141.665,1.43092,2.59029,1.68249,1.52834,0.63169,0.50635,0.53877,0.28219,0.63859,0.48933,0.52099,0.25251,1.67226,3.03891,1.82649,1.91065,0.009901,0.009901,0.009901
5,174.648,1.41237,2.51184,1.54225,1.50705,0.59586,0.4068,0.43867,0.21322,0.58474,0.40244,0.42836,0.19362,1.8634,3.27334,1.8891,2.01082,0.009868,0.009868,0.009868
6,208.592,1.38549,2.42854,1.4702,1.48983,0.67396,0.50627,0.5758,0.30423,0.67388,0.50661,0.5703,0.29754,1.62515,2.64165,1.68626,1.80655,0.009835,0.009835,0.009835
7,241.74,1.34231,2.35248,1.41718,1.4599,0.66913,0.57032,0.61988,0.35102,0.67833,0.55793,0.60289,0.31055,1.554,2.75371,1.45652,1.75285,0.009802,0.009802,0.009802
8,274.964,1.31923,2.30493,1.35591,1.44795,0.70807,0.58232,0.65874,0.38036,0.71488,0.58943,0.65759,0.34947,1.47823,2.58681,1.46652,1.69488,0.009769,0.009769,0.009769
9,308.135,1.28918,2.27431,1.33273,1.42895,0.69185,0.55386,0.62832,0.3608,0.69995,0.54726,0.60918,0.33135,1.49742,2.63061,1.48418,1.70697,0.009736,0.009736,0.009736
10,341.498,1.27619,2.23691,1.27387,1.40853,0.74008,0.6123,0.69112,0.41264,0.74408,0.60823,0.68392,0.39187,1.42317,2.31844,1.30658,1.65008,0.009703,0.009703,0.009703
11,374.184,1.26975,2.21536,1.25242,1.40434,0.72976,0.64736,0.7211,0.42573,0.75067,0.64329,0.72086,0.41417,1.39433,2.2387,1.25871,1.60275,0.00967,0.00967,0.00967
12,407.364,1.25174,2.16285,1.23268,1.39122,0.78667,0.62397,0.7414,0.46735,0.78861,0.62177,0.73453,0.43553,1.3159,2.19709,1.21336,1.55545,0.009637,0.009637,0.009637
13,443.844,1.23832,2.18973,1.19782,1.37748,0.77743,0.66463,0.76805,0.4826,0.77936,0.6626,0.76274,0.44367,1.27865,2.12815,1.11075,1.49946,0.009604,0.009604,0.009604
14,479.77,1.2232,2.13561,1.17299,1.36949,0.81088,0.64888,0.77895,0.47969,0.81105,0.65871,0.77612,0.45301,1.3263,2.12863,1.12864,1.5527,0.009571,0.009571,0.009571
