epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8474,1.36822,2.95546,2.12222,1.53423,0.62797,0.51728,0.56827,0.3367,0.64082,0.51982,0.5651,0.30098,1.42379,2.58283,1.50992,1.61731,0.00332016,0.00332016,0.00332016
2,94.9032,1.22325,2.2697,1.28733,1.3814,0.63769,0.50051,0.56303,0.31753,0.61767,0.48222,0.53383,0.26337,1.54745,2.90137,1.63283,1.75909,0.00663153,0.00663153,0.00663153
3,138.054,1.33376,2.378,1.36691,1.45528,0.57968,0.38415,0.42611,0.22835,0.57454,0.37043,0.40163,0.20658,1.7965,2.9306,1.9535,2.04914,0.00992091,0.00992091,0.00992091
4,181.245,1.39953,2.4933,1.4595,1.5108,0.50668,0.48679,0.46017,0.24253,0.50114,0.46748,0.4382,0.21464,1.75732,3.07314,1.94649,2.03503,0.009901,0.009901,0.009901
5,224.049,1.38045,2.4203,1.37051,1.49159,0.62784,0.53913,0.58317,0.30148,0.62415,0.52998,0.57318,0.27351,1.67715,2.72301,1.54434,1.89189,0.009868,0.009868,0.009868
6,267.394,1.35492,2.36159,1.33783,1.47798,0.71722,0.62121,0.7004,0.41125,0.72258,0.6062,0.68641,0.38086,1.43407,2.44991,1.34006,1.6534,0.009835,0.009835,0.009835
7,311.971,1.31716,2.26926,1.28338,1.44593,0.71927,0.60366,0.68167,0.38958,0.7223,0.6062,0.67193,0.35689,1.47014,2.50909,1.37318,1.67222,0.009802,0.009802,0.009802
8,355.667,1.2966,2.22374,1.22794,1.4258,0.5997,0.4873,0.48172,0.25517,0.56937,0.46693,0.4393,0.21232,1.77202,3.78503,1.89152,1.90572,0.009769,0.009769,0.009769
9,400.225,1.25877,2.19611,1.211,1.40896,0.74538,0.67276,0.75443,0.46418,0.75419,0.66414,0.74744,0.42858,1.34547,2.25401,1.18279,1.55929,0.009736,0.009736,0.009736
10,444.841,1.23332,2.14215,1.16367,1.39334,0.7779,0.68293,0.77452,0.48255,0.79182,0.69207,0.7783,0.45163,1.31041,2.15634,1.101,1.54423,0.009703,0.009703,0.009703
11,488.849,1.22641,2.14724,1.14395,1.38065,0.77482,0.70071,0.79717,0.49972,0.77656,0.71697,0.79816,0.47798,1.29179,1.97079,1.06819,1.50005,0.00967,0.00967,0.00967
12,532.159,1.21289,2.07215,1.11899,1.37529,0.78901,0.69919,0.78904,0.49478,0.79181,0.69187,0.78313,0.45215,1.29911,2.107,1.08224,1.54774,0.009637,0.009637,0.009637
13,575.724,1.19106,2.09631,1.08623,1.35863,0.74319,0.65396,0.74831,0.47463,0.74492,0.65549,0.74369,0.43131,1.29694,2.12511,1.1504,1.52964,0.009604,0.009604,0.009604
14,619.325,1.18272,2.03908,1.07508,1.35096,0.81582,0.72866,0.8349,0.53313,0.8229,0.7312,0.83347,0.5087,1.23782,1.93159,0.9809,1.46553,0.009571,0.009571,0.009571
15,664.012,1.16434,2.02335,1.05172,1.34214,0.82122,0.73679,0.81625,0.52911,0.83114,0.7403,0.82104,0.49211,1.24766,2.01876,0.94035,1.49128,0.009538,0.009538,0.009538
16,709.159,1.1461,1.98316,1.02712,1.32418,0.80952,0.74073,0.83477,0.55245,0.83695,0.71989,0.82694,0.49376,1.17802,1.93452,0.9141,1.43429,0.009505,0.009505,0.009505
17,753.447,1.13024,1.95012,0.99842,1.31931,0.83742,0.72499,0.84043,0.5495,0.83989,0.72713,0.83973,0.5225,1.20146,1.90126,0.95457,1.42938,0.009472,0.009472,0.009472
18,796.829,1.12445,1.95949,0.99881,1.30445,0.78578,0.68403,0.77558,0.49848,0.81252,0.68269,0.78188,0.46554,1.26446,2.12394,1.07994,1.48225,0.009439,0.009439,0.009439
19,841.012,1.11006,1.92917,0.96514,1.29441,0.84168,0.72358,0.83107,0.55449,0.84759,0.72866,0.83361,0.51778,1.1786,1.90016,0.90739,1.42639,0.009406,0.009406,0.009406
20,884.42,1.11126,1.91188,0.96139,1.2985,0.81576,0.73984,0.83989,0.55083,0.82059,0.73673,0.82917,0.4968,1.16083,1.91714,0.89337,1.40667,0.009373,0.009373,0.009373
21,927.108,1.09959,1.90837,0.95399,1.28744,0.82976,0.73984,0.83847,0.56133,0.83757,0.74939,0.8432,0.52634,1.15789,1.87152,0.92123,1.40075,0.00934,0.00934,0.00934
22,973.683,1.08934,1.90054,0.93095,1.2869,0.82212,0.76323,0.85879,0.57292,0.82322,0.77847,0.8608,0.53969,1.15198,1.82055,0.86752,1.3973,0.009307,0.009307,0.009307
23,1020.09,1.08403,1.88427,0.93005,1.27817,0.81279,0.75965,0.85191,0.57019,0.85486,0.74221,0.85532,0.548,1.14317,1.78144,0.8736,1.37756,0.009274,0.009274,0.009274
24,1064.95,1.07481,1.84223,0.90764,1.27657,0.859,0.77698,0.88161,0.60231,0.86972,0.78017,0.88568,0.57006,1.10466,1.73362,0.81428,1.35335,0.009241,0.009241,0.009241
25,1110,1.07053,1.83715,0.88841,1.26996,0.85562,0.78557,0.8813,0.61101,0.8507,0.79167,0.88132,0.56285,1.09366,1.76229,0.79111,1.34772,0.009208,0.009208,0.009208
26,1156.36,1.05924,1.83092,0.87373,1.26113,0.86199,0.78387,0.87785,0.59813,0.8624,0.78455,0.87604,0.55586,1.13536,1.74204,0.7865,1.37179,0.009175,0.009175,0.009175
27,1202.84,1.06062,1.82222,0.87574,1.26114,0.87096,0.76824,0.88493,0.61756,0.88306,0.77891,0.88433,0.57489,1.08152,1.74666,0.75804,1.32789,0.009142,0.009142,0.009142
