epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8546,1.32942,2.90512,2.42844,1.46797,0.6218,0.54776,0.57453,0.32128,0.61707,0.54167,0.56543,0.29027,1.38809,2.57803,1.94579,1.59023,0.0701186,0.00332016,0.00332016
2,72.2521,1.25925,2.37457,1.64437,1.38345,0.57383,0.46646,0.46568,0.24507,0.53936,0.4361,0.41957,0.19701,1.61253,3.08339,1.98868,1.90527,0.0400966,0.00663153,0.00663153
3,104.208,1.32709,2.40257,1.56177,1.43254,0.52315,0.43902,0.44497,0.2394,0.46357,0.4248,0.39398,0.20173,1.65882,3.14843,1.99442,1.99031,0.0100527,0.00992091,0.00992091
4,135.918,1.34886,2.44414,1.54745,1.45846,0.45646,0.36941,0.35869,0.1971,0.41486,0.33486,0.31994,0.17734,1.70025,3.01656,2.20489,2.11277,0.009901,0.009901,0.009901
5,167.747,1.31782,2.37291,1.43752,1.43306,0.67479,0.56723,0.62305,0.35167,0.68929,0.55122,0.61538,0.32334,1.50148,2.72294,1.56516,1.73211,0.009868,0.009868,0.009868
6,199.725,1.30071,2.30605,1.39214,1.41833,0.73979,0.6128,0.69614,0.39509,0.74817,0.60467,0.69409,0.37707,1.43206,2.35427,1.36259,1.66309,0.009835,0.009835,0.009835
7,231.518,1.27258,2.23001,1.33136,1.40038,0.73588,0.63669,0.70063,0.41035,0.74293,0.64278,0.69979,0.38739,1.39226,2.3782,1.34664,1.5956,0.009802,0.009802,0.009802
8,262.855,1.25873,2.19913,1.29723,1.39173,0.75231,0.60518,0.7001,0.42118,0.75951,0.59859,0.68568,0.39029,1.37998,2.43654,1.29823,1.6203,0.009769,0.009769,0.009769
9,294.332,1.22569,2.17471,1.27175,1.36852,0.76823,0.68598,0.77728,0.48621,0.78346,0.68953,0.77891,0.45816,1.2795,2.16454,1.12858,1.49327,0.009736,0.009736,0.009736
10,326.096,1.21905,2.13881,1.22803,1.36473,0.74244,0.64154,0.73234,0.43766,0.77195,0.63125,0.72671,0.40615,1.37975,2.34253,1.26419,1.58774,0.009703,0.009703,0.009703
11,357.509,1.21372,2.13931,1.20631,1.36039,0.79782,0.67374,0.78406,0.47884,0.80491,0.67088,0.77955,0.46115,1.2934,2.05744,1.1656,1.50906,0.00967,0.00967,0.00967
12,388.987,1.20085,2.0844,1.17747,1.35251,0.81115,0.65259,0.76783,0.483,0.81525,0.65447,0.76581,0.4565,1.28209,2.05134,1.13503,1.49189,0.009637,0.009637,0.009637
13,420.822,1.19436,2.09555,1.14529,1.34181,0.79764,0.69902,0.80395,0.51003,0.80296,0.70579,0.79951,0.4827,1.24995,2.04106,1.08188,1.47169,0.009604,0.009604,0.009604
14,452.181,1.17216,2.04226,1.12997,1.32482,0.79961,0.70935,0.81758,0.51623,0.79569,0.70376,0.80885,0.47253,1.23251,2.00187,1.0287,1.46175,0.009571,0.009571,0.009571
15,483.898,1.16147,2.03792,1.1015,1.32381,0.7699,0.65803,0.75953,0.46305,0.76672,0.66136,0.75051,0.43765,1.31412,2.07133,1.14205,1.52301,0.009538,0.009538,0.009538
16,515.756,1.1475,1.98567,1.07857,1.30966,0.79015,0.73476,0.82673,0.53872,0.79479,0.73409,0.82743,0.50712,1.19672,1.9582,1.00532,1.42012,0.009505,0.009505,0.009505
17,547.461,1.13282,1.9762,1.06509,1.30381,0.82629,0.73323,0.83871,0.54396,0.83463,0.73679,0.84146,0.51536,1.18659,1.93791,0.93913,1.41729,0.009472,0.009472,0.009472
18,579.449,1.12557,1.97629,1.04766,1.28897,0.82183,0.69766,0.80328,0.51041,0.82335,0.70105,0.80182,0.48054,1.26998,2.06881,1.02135,1.475,0.009439,0.009439,0.009439
