epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5525,1.3522,2.83147,2.02655,1.51821,0.57583,0.44055,0.46814,0.25576,0.61394,0.42378,0.46769,0.22962,1.61459,2.93886,1.77986,1.8528,0.0701186,0.00332016,0.00332016
2,92.8647,1.20427,2.23308,1.25321,1.36422,0.62853,0.49695,0.55965,0.31068,0.63606,0.47866,0.53558,0.26038,1.53022,2.60494,1.5686,1.76055,0.0400966,0.00663153,0.00663153
3,135.391,1.27515,2.30137,1.3121,1.41762,0.63389,0.45783,0.50412,0.25804,0.61652,0.4444,0.4712,0.22932,1.76652,2.93741,1.72161,1.94633,0.0100527,0.00992091,0.00992091
4,177.963,1.30488,2.33367,1.33622,1.44471,0.67858,0.54624,0.61148,0.34145,0.69918,0.53506,0.59801,0.31234,1.58854,2.56841,1.5042,1.80742,0.009901,0.009901,0.009901
5,221.312,1.28734,2.29202,1.25411,1.42084,0.68773,0.62398,0.67772,0.39677,0.68452,0.60925,0.66592,0.36438,1.43175,2.42875,1.40436,1.65354,0.009868,0.009868,0.009868
6,263.809,1.26184,2.19882,1.20463,1.40706,0.71009,0.54929,0.64413,0.38612,0.69323,0.54656,0.63309,0.34701,1.45211,2.42289,1.40643,1.69257,0.009835,0.009835,0.009835
7,306.678,1.23168,2.12106,1.15048,1.3847,0.7019,0.56949,0.64709,0.38242,0.71164,0.57558,0.64176,0.35032,1.40981,2.52558,1.57154,1.61982,0.009802,0.009802,0.009802
8,349.579,1.21899,2.09851,1.13797,1.37387,0.75153,0.65041,0.72652,0.43199,0.76,0.64683,0.71875,0.39123,1.39268,2.4524,1.17762,1.59019,0.009769,0.009769,0.009769
9,392.372,1.19177,2.07955,1.11559,1.3599,0.75202,0.66106,0.74502,0.45628,0.76305,0.66921,0.75007,0.41741,1.36814,2.27906,1.12896,1.59847,0.009736,0.009736,0.009736
10,434.866,1.16389,2.02718,1.06611,1.33946,0.77465,0.66667,0.75265,0.47381,0.78606,0.66463,0.75191,0.44612,1.28516,2.12101,1.09471,1.52581,0.009703,0.009703,0.009703
11,476.973,1.157,2.02504,1.05214,1.33175,0.82468,0.67327,0.77488,0.49971,0.82904,0.67271,0.77161,0.4691,1.25189,2.05076,1.06244,1.47167,0.00967,0.00967,0.00967
12,519.061,1.14711,1.9572,1.02209,1.32234,0.81192,0.70783,0.82015,0.53789,0.83001,0.71392,0.82594,0.5094,1.2097,1.92851,0.96277,1.43581,0.009637,0.009637,0.009637
13,562.9,1.12935,1.98042,1.0153,1.31388,0.84064,0.71697,0.8247,0.54151,0.85355,0.69891,0.81555,0.50661,1.21413,1.9339,0.95499,1.45274,0.009604,0.009604,0.009604
14,605.429,1.11909,1.92267,0.98119,1.29957,0.82635,0.76372,0.85255,0.57265,0.84174,0.76214,0.85301,0.5341,1.15057,1.8691,0.85816,1.39622,0.009571,0.009571,0.009571
15,647.564,1.10378,1.91927,0.95913,1.29736,0.82604,0.73349,0.83552,0.56154,0.83567,0.72611,0.83572,0.51463,1.17085,1.91603,0.89558,1.39815,0.009538,0.009538,0.009538
16,689.939,1.08467,1.87505,0.9467,1.28081,0.84115,0.76016,0.8581,0.57816,0.84435,0.77744,0.86298,0.54284,1.14753,1.83544,0.85355,1.39674,0.009505,0.009505,0.009505
17,732.464,1.07675,1.85235,0.91813,1.27476,0.83784,0.77439,0.86401,0.59112,0.84624,0.77185,0.8631,0.54874,1.10931,1.80984,0.84874,1.35265,0.009472,0.009472,0.009472
18,774.699,1.06212,1.85008,0.91292,1.25741,0.84341,0.74989,0.85201,0.57798,0.84496,0.75326,0.85659,0.54126,1.13924,1.85929,0.86247,1.37347,0.009439,0.009439,0.009439
19,817.049,1.05214,1.82662,0.8943,1.25785,0.81203,0.70462,0.79839,0.52766,0.83003,0.70732,0.80219,0.49137,1.21981,2.01655,0.97003,1.43151,0.009406,0.009406,0.009406
20,859.393,1.05257,1.81181,0.88424,1.25229,0.85809,0.77134,0.8649,0.59603,0.86328,0.76931,0.86293,0.55097,1.10375,1.80709,0.81582,1.32925,0.009373,0.009373,0.009373
21,902.109,1.03372,1.80276,0.863,1.23735,0.82662,0.80672,0.88126,0.60777,0.83136,0.80691,0.8826,0.5716,1.08772,1.72304,0.81625,1.32503,0.00934,0.00934,0.00934
22,944.884,1.03459,1.80871,0.84856,1.24116,0.83808,0.80218,0.88295,0.61533,0.84466,0.81047,0.8884,0.5716,1.08123,1.7544,0.77628,1.31683,0.009307,0.009307,0.009307
23,986.894,1.03459,1.77225,0.8505,1.2361,0.86465,0.78876,0.88375,0.61244,0.86299,0.79692,0.88648,0.57894,1.09696,1.72371,0.78516,1.30525,0.009274,0.009274,0.009274
24,1029.41,1.0155,1.73903,0.82881,1.22273,0.84587,0.78358,0.87274,0.60203,0.86099,0.78997,0.87761,0.57004,1.09199,1.71632,0.79496,1.33187,0.009241,0.009241,0.009241
25,1071.7,1.01101,1.73227,0.81465,1.21914,0.87886,0.81102,0.89448,0.6367,0.88294,0.81249,0.89448,0.59335,1.04965,1.66653,0.74069,1.29944,0.009208,0.009208,0.009208
26,1113.79,0.99865,1.71522,0.78913,1.21527,0.89665,0.79355,0.9045,0.63516,0.89447,0.79679,0.90604,0.59602,1.0669,1.64819,0.73245,1.29687,0.009175,0.009175,0.009175
27,1156.59,0.99644,1.71619,0.80349,1.21449,0.87568,0.83749,0.90687,0.6433,0.88311,0.84461,0.91096,0.60518,1.05256,1.67884,0.7027,1.28884,0.009142,0.009142,0.009142
28,1199.11,0.98585,1.70184,0.78214,1.20536,0.83581,0.80964,0.88211,0.61151,0.84792,0.81657,0.88752,0.57528,1.09182,1.76086,0.76949,1.31583,0.009109,0.009109,0.009109
29,1241.69,0.97661,1.67426,0.76815,1.19448,0.88841,0.82978,0.91881,0.66301,0.89167,0.83283,0.91727,0.61382,1.0116,1.62016,0.67804,1.25437,0.009076,0.009076,0.009076
30,1284.32,0.97245,1.67196,0.77046,1.19513,0.89462,0.82622,0.90684,0.64622,0.89994,0.83486,0.91503,0.60272,1.01912,1.65146,0.67487,1.27124,0.009043,0.009043,0.009043
31,1327.04,0.95494,1.66756,0.75183,1.19101,0.88179,0.82266,0.90872,0.65598,0.88406,0.82912,0.90829,0.60916,1.00202,1.64443,0.69024,1.24907,0.00901,0.00901,0.00901
